Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Marystown,19.92619926199262,2.3985239852398523,13.537906137184116,1.9855595667870036,47.165339,-55.155704,22.481516511915743,2.5637097526210084
Fox Cove-Mortier,20.689655172413794,0.0,11.76470588235294,0.0,52.89,-60.511,24.259634888438086,0.0
Bay L'Argent,28.000000000000004,0.0,25.0,3.571428571428571,47.545597,-54.893732,29.200000000000045,0.0
Grand le Pierre,20.0,0.0,18.51851851851852,0.0,47.67901,-54.785927,20.592592592592496,0.0
Rushoon,26.923076923076923,3.8461538461538463,17.24137931034483,0.0,47.354449,-54.914714,30.795755968169487,5.384615384615245
Parkers Cove,20.0,0.0,13.333333333333334,1.6666666666666667,47.395994,-54.862132,22.666666666666515,0.0
Terrenceville,19.148936170212767,0.0,16.0,0.0,47.662416,-54.721406,20.408510638297912,0.0
Red Harbour,15.789473684210526,0.0,15.0,0.0,47.296358,-55.009451,16.105263157894683,0.0
English Harbour East,13.333333333333334,0.0,21.428571428571427,0.0,47.634893,-54.886224,10.095238095238074,0.0
Baine Harbour,25.0,0.0,16.666666666666664,0.0,47.358752,-54.894265,28.333333333333485,0.0
Little Bay East,33.33333333333333,0.0,21.428571428571427,0.0,47.554413,-54.850794,38.09523809523762,0.0
Rencontre East,14.814814814814811,0.0,17.857142857142858,0.0,47.647543,-55.231392,13.597883597883538,0.0
Belleoram,12.0,0.0,8.641975308641975,1.2345679012345678,47.523783,-55.41216,13.34320987654337,0.0
Pool's Cove,36.84210526315789,0.0,21.052631578947366,0.0,47.68202,-55.4332,43.15789473684163,0.0
Harbour Breton,17.72151898734177,0.0,11.976047904191615,0.5988023952095809,47.469531,-55.821456,20.019707420602117,0.0
Seal Cove (Fortune Bay),43.47826086956522,0.0,40.0,0.0,47.072889,-55.828156,44.869565217391255,0.0
Hermitage-Sandyville,30.23255813953488,2.3255813953488373,24.444444444444443,0.0,47.557426,-55.927904,32.54780361757139,3.255813953488314
Gaultois,20.0,0.0,15.789473684210526,0.0,47.607679,-55.920087,21.68421052631561,0.0
Milltown-Head of Bay d'Espoir,28.767123287671232,1.36986301369863,22.36842105263158,0.0,47.916034,-55.74688,31.32660418168689,1.9178082191781414
Morrisville,30.0,0.0,20.833333333333336,0.0,47.494718,-53.227094,33.666666666666515,0.0
Ramea,27.906976744186046,0.0,18.367346938775512,2.0408163265306123,47.522919,-57.386908,31.722828666350324,0.0
Burgeo,28.735632183908045,1.9157088122605364,18.43003412969283,1.3651877133105803,47.612361,-57.613889,32.85787140559387,2.1359172518405103
Isle aux Morts,25.75757575757576,3.0303030303030303,22.58064516129032,1.6129032258064515,47.587509,-58.974264,27.028347996090133,3.597262952101687
Burnt Islands,18.0327868852459,1.639344262295082,9.375,0.0,47.604448,-58.874858,21.495901639344083,2.2950819672130365
Channel-Port aux Basques,23.157894736842103,2.368421052631579,17.974683544303797,1.7721518987341771,47.570912,-59.135614,25.231179213857104,2.606928714190559
