Geographic name,percent elderly 65+,percent elderly 85+,Latitude,Longitude
West Vancouver,27.804590935844615,5.29723366686286,49.335899,-123.182385
West Vancouver,28.901098901098898,6.395604395604396,49.335899,-123.182385
Bowen Island,21.75141242937853,1.1299435028248588,49.401324,-123.317413
Bowen Island,20.92391304347826,1.6304347826086956,49.401324,-123.317413
Bowen Island,20.10443864229765,2.088772845953003,49.401324,-123.317413
Lions Bay,23.134328358208954,1.4925373134328357,49.458066,-123.236748
Lions Bay,20.149253731343283,0.7462686567164178,49.458066,-123.236748
Lions Bay,21.804511278195488,1.1278195488721803,49.458066,-123.236748
Pitt Meadows,15.746971736204577,1.5881561238223418,49.22632,-122.675755
Pitt Meadows,14.538419016030957,1.3266998341625207,49.22632,-122.675755
Pitt Meadows,16.894018887722982,1.8363064008394543,49.22632,-122.675755
Maple Ridge,13.26467303635687,1.228440253133143,49.227216,-122.654303
Maple Ridge,15.657769304099142,2.2402287893231647,49.227216,-122.654303
Maple Ridge,14.491520272323871,1.7506534557169777,49.227216,-122.654303
Semiahmoo,25.0,0.0,54.755,-124.766
Semiahmoo,8.333333333333332,0.0,54.755,-124.766
Semiahmoo,20.833333333333336,4.166666666666666,54.755,-124.766
Tsawwassen,25.925925925925924,0.0,49.036515,-123.095181
Tsawwassen,28.04878048780488,3.6585365853658534,49.036515,-123.095181
Tsawwassen,26.380368098159508,1.8404907975460123,49.036515,-123.095181
Matsqui 4,84.04255319148936,9.574468085106384,54.755,-124.766
Matsqui 4,82.6923076923077,7.6923076923076925,54.755,-124.766
Matsqui 4,88.09523809523809,11.904761904761903,54.755,-124.766
North Saanich,31.74744330813695,2.8901734104046244,48.661216,-123.448463
North Saanich,32.910244786944695,2.7198549410698094,48.661216,-123.448463
North Saanich,30.601569311246728,3.051438535309503,48.661216,-123.448463
Sidney,43.63354037267081,11.568322981366459,48.65011,-123.400733
Sidney,40.91688089117395,9.682947729220222,48.65011,-123.400733
Sidney,37.5717017208413,7.361376673040152,48.65011,-123.400733
Saanich,22.137209895434836,3.9700756609708407,54.755,-124.766
Saanich,20.776205703272154,3.342240133163958,54.755,-124.766
Saanich,19.327731092436977,2.6746182343905303,54.755,-124.766
Saltspring Island,30.658250676284943,4.328223624887286,48.861848,-123.510639
Saltspring Island,30.601610611084794,3.7423022264329706,48.861848,-123.510639
Saltspring Island,30.408773678963108,3.090727816550349,48.861848,-123.510639
Victoria,18.841651263093038,2.501540357362908,48.456869,-123.471898
Victoria,21.038522058395014,3.8522058395011363,48.456869,-123.471898
Victoria,23.00973020787262,5.064130915524104,48.456869,-123.471898
Esquimalt,17.84197111299915,2.4072500708014726,48.451371,-123.425412
Esquimalt,20.08101851851852,3.4143518518518516,48.451371,-123.425412
Esquimalt,15.704772475027747,1.4428412874583796,48.451371,-123.425412
Metchosin,21.572580645161292,1.2096774193548387,54.755,-124.766
